Country,GH_Gas,date,Country,Data source,GH_Gas,Unit,max_year,date,Agriculture,Energy,Industrial Processes,Land-Use Change and Forestry,Other,Solvent and Other Product Use,Total GHG emissions with LULUCF,Total GHG emissions without LULUCF,Waste
Annex-I Parties to the Convention,Aggregate GHGs,1996-01-01,Annex-I Parties to the Convention,UNFCCC_AI,Aggregate GHGs,MtCO₂e,2017,1996-01-01,1484.05,14450.57,1377.66,-1680.09,0.02,,16234.28,17914.37,602.09
Annex-I Parties to the Convention,Aggregate GHGs,1997-01-01,Annex-I Parties to the Convention,UNFCCC_AI,Aggregate GHGs,MtCO₂e,2017,1997-01-01,1460.38,14341.98,1392.9,-1732.56,0.02,,16053.67,17786.23,590.95
Annex-I Parties to the Convention,Aggregate GHGs,1998-01-01,Annex-I Parties to the Convention,UNFCCC_AI,Aggregate GHGs,MtCO₂e,2017,1998-01-01,1459.21,14333.62,1354.19,-1852.94,0.01,,15872.27,17725.21,578.18
Annex-I Parties to the Convention,Aggregate GHGs,1999-01-01,Annex-I Parties to the Convention,UNFCCC_AI,Aggregate GHGs,MtCO₂e,2017,1999-01-01,1423.63,14379.97,1317.34,-1865.15,0.02,,15823.72,17688.87,567.91
Annex-I Parties to the Convention,Aggregate GHGs,2000-01-01,Annex-I Parties to the Convention,UNFCCC_AI,Aggregate GHGs,MtCO₂e,2017,2000-01-01,1418.93,14565.06,1347.98,-1836.23,0.02,,16058.71,17894.94,562.96
Annex-I Parties to the Convention,Aggregate GHGs,2001-01-01,Annex-I Parties to the Convention,UNFCCC_AI,Aggregate GHGs,MtCO₂e,2017,2001-01-01,1416.14,14596.82,1284.07,-1879.55,0.02,,15972.08,17851.63,554.58
Annex-I Parties to the Convention,Aggregate GHGs,2002-01-01,Annex-I Parties to the Convention,UNFCCC_AI,Aggregate GHGs,MtCO₂e,2017,2002-01-01,1406.97,14610.07,1285.55,-1878.34,0.02,,15974.39,17852.73,550.12
Annex-I Parties to the Convention,Aggregate GHGs,2003-01-01,Annex-I Parties to the Convention,UNFCCC_AI,Aggregate GHGs,MtCO₂e,2017,2003-01-01,1398.3,14832.88,1294.44,-1796.13,0.02,,16276.35,18072.48,546.84
Annex-I Parties to the Convention,Aggregate GHGs,2004-01-01,Annex-I Parties to the Convention,UNFCCC_AI,Aggregate GHGs,MtCO₂e,2017,2004-01-01,1421.03,14945.54,1346.66,-1795.54,0.02,,16455.46,18251.01,537.75
Annex-I Parties to the Convention,Aggregate GHGs,2005-01-01,Annex-I Parties to the Convention,UNFCCC_AI,Aggregate GHGs,MtCO₂e,2017,2005-01-01,1392.44,14999.37,1346.09,-1815.68,0.02,,16450.27,18265.95,528.04
Annex-I Parties to the Convention,Aggregate GHGs,2006-01-01,Annex-I Parties to the Convention,UNFCCC_AI,Aggregate GHGs,MtCO₂e,2017,2006-01-01,1393.21,14976.85,1371.17,-1830.94,0.02,,16432.27,18263.22,521.97
Annex-I Parties to the Convention,Aggregate GHGs,2007-01-01,Annex-I Parties to the Convention,UNFCCC_AI,Aggregate GHGs,MtCO₂e,2017,2007-01-01,1409.1,15075.95,1411.36,-1765.99,0.02,,16645.91,18411.91,515.48
Annex-I Parties to the Convention,Aggregate GHGs,2008-01-01,Annex-I Parties to the Convention,UNFCCC_AI,Aggregate GHGs,MtCO₂e,2017,2008-01-01,1400.06,14768.93,1348.01,-1825.03,0.02,,16199.93,18024.96,507.94
Annex-I Parties to the Convention,Aggregate GHGs,2009-01-01,Annex-I Parties to the Convention,UNFCCC_AI,Aggregate GHGs,MtCO₂e,2017,2009-01-01,1393.25,13846.8,1160.59,-1933.94,0.02,,14963.78,16897.72,497.07
Annex-I Parties to the Convention,Aggregate GHGs,2010-01-01,Annex-I Parties to the Convention,UNFCCC_AI,Aggregate GHGs,MtCO₂e,2017,2010-01-01,1391.09,14272.78,1257.33,-1959.01,0.02,,15455.64,17414.65,493.44
Annex-I Parties to the Convention,Aggregate GHGs,2011-01-01,Annex-I Parties to the Convention,UNFCCC_AI,Aggregate GHGs,MtCO₂e,2017,2011-01-01,1391.76,14115.51,1289.2,-1960.87,0.02,,15315.16,17276.03,479.54
Annex-I Parties to the Convention,Aggregate GHGs,2012-01-01,Annex-I Parties to the Convention,UNFCCC_AI,Aggregate GHGs,MtCO₂e,2017,2012-01-01,1380.6,13922.41,1282.84,-1952.54,0.02,,15109.9,17062.44,476.57
Annex-I Parties to the Convention,Aggregate GHGs,2013-01-01,Annex-I Parties to the Convention,UNFCCC_AI,Aggregate GHGs,MtCO₂e,2017,2013-01-01,1407.19,13916.47,1282.72,-1926.05,0.02,,15148.0,17074.05,467.65
Annex-I Parties to the Convention,Aggregate GHGs,2014-01-01,Annex-I Parties to the Convention,UNFCCC_AI,Aggregate GHGs,MtCO₂e,2017,2014-01-01,1411.8,13700.7,1291.44,-1828.0,0.01,,15040.73,16868.73,464.77
Annex-I Parties to the Convention,Aggregate GHGs,2015-01-01,Annex-I Parties to the Convention,UNFCCC_AI,Aggregate GHGs,MtCO₂e,2017,2015-01-01,1429.53,13532.89,1276.34,-1871.33,0.02,,14831.26,16702.59,463.82
Annex-I Parties to the Convention,Aggregate GHGs,2016-01-01,Annex-I Parties to the Convention,UNFCCC_AI,Aggregate GHGs,MtCO₂e,2017,2016-01-01,1434.6,13405.13,1278.07,-1882.01,0.02,,14694.56,16576.57,458.74
Annex-I Parties to the Convention,Aggregate GHGs,2017-01-01,Annex-I Parties to the Convention,UNFCCC_AI,Aggregate GHGs,MtCO₂e,2017,2017-01-01,1451.2,13423.89,1300.82,-1814.94,0.02,,14818.4,16633.34,457.42
Antigua and Barbuda,Aggregate GHGs,1990-01-01,Antigua and Barbuda,UNFCCC_NAI,Aggregate GHGs,MtCO₂e,2000,1990-01-01,0.02,0.29,,-0.1,,,0.29,0.39,0.08
Antigua and Barbuda,Aggregate GHGs,2000-01-01,Antigua and Barbuda,UNFCCC_NAI,Aggregate GHGs,MtCO₂e,2000,2000-01-01,0.1,0.37,,0.01,,,0.61,0.6,0.12
Argentina,Aggregate GHGs,1990-01-01,Argentina,UNFCCC_NAI,Aggregate GHGs,MtCO₂e,2012,1990-01-01,109.57,103.61,8.49,-14.77,,,216.29,231.06,9.39
Argentina,Aggregate GHGs,1994-01-01,Argentina,UNFCCC_NAI,Aggregate GHGs,MtCO₂e,2012,1994-01-01,117.32,121.97,7.98,-34.19,,,223.34,257.52,10.25
Argentina,Aggregate GHGs,1997-01-01,Argentina,UNFCCC_NAI,Aggregate GHGs,MtCO₂e,2012,1997-01-01,119.11,129.6,10.55,-28.95,,,241.96,270.91,11.65
Argentina,Aggregate GHGs,2000-01-01,Argentina,UNFCCC_NAI,Aggregate GHGs,MtCO₂e,2012,2000-01-01,124.92,131.96,11.11,-43.3,,,238.7,282.0,14.01
Argentina,Aggregate GHGs,2010-01-01,Argentina,UNFCCC_NAI,Aggregate GHGs,MtCO₂e,2012,2010-01-01,120.59,177.15,14.9,115.14,,,447.64,332.5,19.86
Argentina,Aggregate GHGs,2012-01-01,Argentina,UNFCCC_NAI,Aggregate GHGs,MtCO₂e,2012,2012-01-01,119.5,183.38,15.31,90.52,,,429.48,338.96,20.78
Armenia,Aggregate GHGs,1990-01-01,Armenia,UNFCCC_NAI,Aggregate GHGs,MtCO₂e,2010,1990-01-01,0.98,22.78,0.63,-0.76,,,24.19,24.95,0.57
Armenia,Aggregate GHGs,2000-01-01,Armenia,UNFCCC_NAI,Aggregate GHGs,MtCO₂e,2010,2000-01-01,1.2,3.6,0.12,-0.46,,,5.07,5.53,0.61
Armenia,Aggregate GHGs,2006-01-01,Armenia,UNFCCC_NAI,Aggregate GHGs,MtCO₂e,2010,2006-01-01,1.57,4.49,0.32,-0.51,,,6.51,7.02,0.64
Armenia,Aggregate GHGs,2010-01-01,Armenia,UNFCCC_NAI,Aggregate GHGs,MtCO₂e,2010,2010-01-01,1.32,5.01,0.23,-0.54,,,6.66,7.2,0.65
Australia,Aggregate GHGs,1990-01-01,Australia,UNFCCC_AI,Aggregate GHGs,MtCO₂e,2017,1990-01-01,80.25,294.01,26.03,184.59,,,604.9,420.32,20.03
Australia,Aggregate GHGs,1991-01-01,Australia,UNFCCC_AI,Aggregate GHGs,MtCO₂e,2017,1991-01-01,79.52,296.58,25.28,161.59,,,582.97,421.38,20.0
Australia,Aggregate GHGs,1992-01-01,Australia,UNFCCC_AI,Aggregate GHGs,MtCO₂e,2017,1992-01-01,76.89,303.15,25.9,96.26,,,521.96,425.7,19.75
Australia,Aggregate GHGs,1993-01-01,Australia,UNFCCC_AI,Aggregate GHGs,MtCO₂e,2017,1993-01-01,75.05,305.98,25.61,77.69,,,503.92,426.23,19.59
Australia,Aggregate GHGs,1994-01-01,Australia,UNFCCC_AI,Aggregate GHGs,MtCO₂e,2017,1994-01-01,75.2,306.65,25.55,68.74,,,495.05,426.3,18.9
Australia,Aggregate GHGs,1995-01-01,Australia,UNFCCC_AI,Aggregate GHGs,MtCO₂e,2017,1995-01-01,72.02,318.84,25.2,47.68,,,482.59,434.91,18.85
Australia,Aggregate GHGs,1996-01-01,Australia,UNFCCC_AI,Aggregate GHGs,MtCO₂e,2017,1996-01-01,74.12,326.21,24.94,47.09,,,489.6,442.51,17.24
Australia,Aggregate GHGs,1997-01-01,Australia,UNFCCC_AI,Aggregate GHGs,MtCO₂e,2017,1997-01-01,75.31,337.25,25.1,45.88,,,500.51,454.63,16.97
Australia,Aggregate GHGs,1998-01-01,Australia,UNFCCC_AI,Aggregate GHGs,MtCO₂e,2017,1998-01-01,75.24,350.64,26.37,34.14,,,502.55,468.41,16.15
Australia,Aggregate GHGs,1999-01-01,Australia,UNFCCC_AI,Aggregate GHGs,MtCO₂e,2017,1999-01-01,75.39,355.56,26.84,42.53,,,516.56,474.03,16.23
Australia,Aggregate GHGs,2000-01-01,Australia,UNFCCC_AI,Aggregate GHGs,MtCO₂e,2017,2000-01-01,78.38,364.29,26.68,51.14,,,536.15,485.02,15.66
Australia,Aggregate GHGs,2001-01-01,Australia,UNFCCC_AI,Aggregate GHGs,MtCO₂e,2017,2001-01-01,77.24,371.48,27.87,72.35,,,564.81,492.46,15.87
Australia,Aggregate GHGs,2002-01-01,Australia,UNFCCC_AI,Aggregate GHGs,MtCO₂e,2017,2002-01-01,77.17,374.6,28.56,65.72,,,562.04,496.32,15.99
Australia,Aggregate GHGs,2003-01-01,Australia,UNFCCC_AI,Aggregate GHGs,MtCO₂e,2017,2003-01-01,71.97,380.07,31.17,74.37,,,572.49,498.12,14.91
Australia,Aggregate GHGs,2004-01-01,Australia,UNFCCC_AI,Aggregate GHGs,MtCO₂e,2017,2004-01-01,75.29,393.5,32.62,66.03,,,581.96,515.93,14.52
Australia,Aggregate GHGs,2005-01-01,Australia,UNFCCC_AI,Aggregate GHGs,MtCO₂e,2017,2005-01-01,75.9,399.63,31.88,88.79,,,610.59,521.8,14.39
Australia,Aggregate GHGs,2006-01-01,Australia,UNFCCC_AI,Aggregate GHGs,MtCO₂e,2017,2006-01-01,74.34,405.97,31.95,85.05,,,611.49,526.44,14.17
Australia,Aggregate GHGs,2007-01-01,Australia,UNFCCC_AI,Aggregate GHGs,MtCO₂e,2017,2007-01-01,70.61,413.81,34.21,93.89,,,627.03,533.14,14.51
Australia,Aggregate GHGs,2008-01-01,Australia,UNFCCC_AI,Aggregate GHGs,MtCO₂e,2017,2008-01-01,68.17,419.45,34.42,78.65,,,615.68,537.03,14.99
Australia,Aggregate GHGs,2009-01-01,Australia,UNFCCC_AI,Aggregate GHGs,MtCO₂e,2017,2009-01-01,68.5,424.73,32.78,69.71,,,610.62,540.91,14.9
Australia,Aggregate GHGs,2010-01-01,Australia,UNFCCC_AI,Aggregate GHGs,MtCO₂e,2017,2010-01-01,66.28,420.14,35.65,48.68,,,585.96,537.28,15.21
Australia,Aggregate GHGs,2011-01-01,Australia,UNFCCC_AI,Aggregate GHGs,MtCO₂e,2017,2011-01-01,70.75,416.73,36.25,29.38,,,567.66,538.28,14.54
Australia,Aggregate GHGs,2012-01-01,Australia,UNFCCC_AI,Aggregate GHGs,MtCO₂e,2017,2012-01-01,71.99,422.24,33.41,18.11,,,558.73,540.62,12.98
Australia,Aggregate GHGs,2013-01-01,Australia,UNFCCC_AI,Aggregate GHGs,MtCO₂e,2017,2013-01-01,72.11,414.45,31.5,7.3,,,537.74,530.43,12.36
Australia,Aggregate GHGs,2014-01-01,Australia,UNFCCC_AI,Aggregate GHGs,MtCO₂e,2017,2014-01-01,72.62,408.69,31.16,8.1,,,533.06,524.96,12.49
Australia,Aggregate GHGs,2015-01-01,Australia,UNFCCC_AI,Aggregate GHGs,MtCO₂e,2017,2015-01-01,70.08,420.3,32.84,-3.54,,,531.64,535.17,11.95
Australia,Aggregate GHGs,2016-01-01,Australia,UNFCCC_AI,Aggregate GHGs,MtCO₂e,2017,2016-01-01,69.27,432.09,33.0,-16.34,,,530.43,546.77,12.41
Australia,Aggregate GHGs,2017-01-01,Australia,UNFCCC_AI,Aggregate GHGs,MtCO₂e,2017,2017-01-01,73.0,435.65,33.69,-19.43,,,534.7,554.13,11.79
Austria,Aggregate GHGs,1990-01-01,Austria,UNFCCC_AI,Aggregate GHGs,MtCO₂e,2017,1990-01-01,8.14,52.95,13.66,-11.99,,,66.68,78.67,3.93
Austria,Aggregate GHGs,1991-01-01,Austria,UNFCCC_AI,Aggregate GHGs,MtCO₂e,2017,1991-01-01,8.04,56.61,13.7,-16.69,,,65.66,82.35,3.99
Austria,Aggregate GHGs,1992-01-01,Austria,UNFCCC_AI,Aggregate GHGs,MtCO₂e,2017,1992-01-01,7.73,52.02,12.05,-11.66,,,64.09,75.75,3.95
Austria,Aggregate GHGs,1993-01-01,Austria,UNFCCC_AI,Aggregate GHGs,MtCO₂e,2017,1993-01-01,7.72,52.29,12.0,-11.96,,,63.98,75.93,3.92
Austria,Aggregate GHGs,1994-01-01,Austria,UNFCCC_AI,Aggregate GHGs,MtCO₂e,2017,1994-01-01,7.7,51.94,12.74,-11.83,,,64.38,76.21,3.82
Austria,Aggregate GHGs,1995-01-01,Austria,UNFCCC_AI,Aggregate GHGs,MtCO₂e,2017,1995-01-01,7.83,54.5,13.6,-13.14,,,66.44,79.58,3.65
Austria,Aggregate GHGs,1996-01-01,Austria,UNFCCC_AI,Aggregate GHGs,MtCO₂e,2017,1996-01-01,7.72,58.64,13.06,-10.56,,,72.32,82.87,3.46
Austria,Aggregate GHGs,1997-01-01,Austria,UNFCCC_AI,Aggregate GHGs,MtCO₂e,2017,1997-01-01,7.67,57.2,14.22,-19.08,,,63.33,82.41,3.31
Austria,Aggregate GHGs,1998-01-01,Austria,UNFCCC_AI,Aggregate GHGs,MtCO₂e,2017,1998-01-01,7.64,57.0,13.86,-17.21,,,64.49,81.7,3.19
Austria,Aggregate GHGs,1999-01-01,Austria,UNFCCC_AI,Aggregate GHGs,MtCO₂e,2017,1999-01-01,7.53,55.85,13.65,-19.52,,,60.59,80.11,3.08
Austria,Aggregate GHGs,2000-01-01,Austria,UNFCCC_AI,Aggregate GHGs,MtCO₂e,2017,2000-01-01,7.44,55.4,14.61,-16.42,,,64.0,80.41,2.96
Austria,Aggregate GHGs,2001-01-01,Austria,UNFCCC_AI,Aggregate GHGs,MtCO₂e,2017,2001-01-01,7.38,59.59,14.49,-19.27,,,65.06,84.32,2.87
Austria,Aggregate GHGs,2002-01-01,Austria,UNFCCC_AI,Aggregate GHGs,MtCO₂e,2017,2002-01-01,7.27,60.85,15.13,-14.26,,,71.85,86.11,2.86
Austria,Aggregate GHGs,2003-01-01,Austria,UNFCCC_AI,Aggregate GHGs,MtCO₂e,2017,2003-01-01,7.12,66.53,15.27,-4.87,,,86.92,91.79,2.87
Austria,Aggregate GHGs,2004-01-01,Austria,UNFCCC_AI,Aggregate GHGs,MtCO₂e,2017,2004-01-01,7.11,66.54,14.81,-9.19,,,82.19,91.38,2.93
Austria,Aggregate GHGs,2005-01-01,Austria,UNFCCC_AI,Aggregate GHGs,MtCO₂e,2017,2005-01-01,7.04,67.14,15.6,-10.66,,,81.91,92.57,2.79
Austria,Aggregate GHGs,2006-01-01,Austria,UNFCCC_AI,Aggregate GHGs,MtCO₂e,2017,2006-01-01,7.03,64.16,16.26,-5.17,,,84.95,90.12,2.67
Austria,Aggregate GHGs,2007-01-01,Austria,UNFCCC_AI,Aggregate GHGs,MtCO₂e,2017,2007-01-01,7.08,60.94,16.91,-5.5,,,81.98,87.47,2.54
Austria,Aggregate GHGs,2008-01-01,Austria,UNFCCC_AI,Aggregate GHGs,MtCO₂e,2017,2008-01-01,7.21,59.93,17.25,-4.26,,,82.55,86.82,2.43
Austria,Aggregate GHGs,2009-01-01,Austria,UNFCCC_AI,Aggregate GHGs,MtCO₂e,2017,2009-01-01,7.24,56.88,13.92,-4.53,,,75.8,80.33,2.28
Austria,Aggregate GHGs,2010-01-01,Austria,UNFCCC_AI,Aggregate GHGs,MtCO₂e,2017,2010-01-01,7.1,59.56,15.93,-5.86,,,78.89,84.75,2.16
Austria,Aggregate GHGs,2011-01-01,Austria,UNFCCC_AI,Aggregate GHGs,MtCO₂e,2017,2011-01-01,7.16,57.28,15.97,-6.09,,,76.37,82.46,2.04
Austria,Aggregate GHGs,2012-01-01,Austria,UNFCCC_AI,Aggregate GHGs,MtCO₂e,2017,2012-01-01,7.11,55.19,15.57,-5.47,,,74.34,79.81,1.94
Austria,Aggregate GHGs,2013-01-01,Austria,UNFCCC_AI,Aggregate GHGs,MtCO₂e,2017,2013-01-01,7.11,55.52,15.9,-4.52,,,75.84,80.35,1.82
Austria,Aggregate GHGs,2014-01-01,Austria,UNFCCC_AI,Aggregate GHGs,MtCO₂e,2017,2014-01-01,7.25,51.7,16.02,-4.72,,,71.96,76.68,1.72
Austria,Aggregate GHGs,2015-01-01,Austria,UNFCCC_AI,Aggregate GHGs,MtCO₂e,2017,2015-01-01,7.25,53.41,16.6,-4.55,,,74.35,78.9,1.64
Austria,Aggregate GHGs,2016-01-01,Austria,UNFCCC_AI,Aggregate GHGs,MtCO₂e,2017,2016-01-01,7.37,54.28,16.39,-4.38,,,75.22,79.6,1.56
Austria,Aggregate GHGs,2017-01-01,Austria,UNFCCC_AI,Aggregate GHGs,MtCO₂e,2017,2017-01-01,7.31,56.27,17.2,-4.91,,,77.36,82.26,1.48
Azerbaijan,Aggregate GHGs,1990-01-01,Azerbaijan,UNFCCC_NAI,Aggregate GHGs,MtCO₂e,2013,1990-01-01,6.26,63.87,1.4,-3.69,,,69.7,73.39,1.85
Azerbaijan,Aggregate GHGs,1991-01-01,Azerbaijan,UNFCCC_NAI,Aggregate GHGs,MtCO₂e,2013,1991-01-01,4.5,59.02,1.36,-3.65,,,62.92,66.57,1.7
Azerbaijan,Aggregate GHGs,1992-01-01,Azerbaijan,UNFCCC_NAI,Aggregate GHGs,MtCO₂e,2013,1992-01-01,4.59,50.06,1.24,-3.62,,,53.98,57.6,1.71
Azerbaijan,Aggregate GHGs,1993-01-01,Azerbaijan,UNFCCC_NAI,Aggregate GHGs,MtCO₂e,2013,1993-01-01,4.2,44.11,0.8,-3.62,,,47.22,50.84,1.73
Azerbaijan,Aggregate GHGs,1994-01-01,Azerbaijan,UNFCCC_NAI,Aggregate GHGs,MtCO₂e,2013,1994-01-01,3.71,39.18,0.43,-3.72,,,41.35,45.07,1.74
Azerbaijan,Aggregate GHGs,1995-01-01,Azerbaijan,UNFCCC_NAI,Aggregate GHGs,MtCO₂e,2013,1995-01-01,3.63,41.97,0.17,-3.79,,,43.75,47.54,1.76
Azerbaijan,Aggregate GHGs,1996-01-01,Azerbaijan,UNFCCC_NAI,Aggregate GHGs,MtCO₂e,2013,1996-01-01,3.78,34.65,0.11,-3.86,,,36.46,40.32,1.78
Azerbaijan,Aggregate GHGs,1997-01-01,Azerbaijan,UNFCCC_NAI,Aggregate GHGs,MtCO₂e,2013,1997-01-01,4.1,33.28,0.15,-4.07,,,35.25,39.32,1.79
Azerbaijan,Aggregate GHGs,1998-01-01,Azerbaijan,UNFCCC_NAI,Aggregate GHGs,MtCO₂e,2013,1998-01-01,4.42,32.51,0.1,-4.56,,,34.27,38.82,1.79
Azerbaijan,Aggregate GHGs,1999-01-01,Azerbaijan,UNFCCC_NAI,Aggregate GHGs,MtCO₂e,2013,1999-01-01,5.12,32.08,0.08,-4.62,,,34.47,39.09,1.8
Azerbaijan,Aggregate GHGs,2000-01-01,Azerbaijan,UNFCCC_NAI,Aggregate GHGs,MtCO₂e,2013,2000-01-01,5.38,32.94,0.55,-4.87,,,35.75,40.62,1.75
Azerbaijan,Aggregate GHGs,2001-01-01,Azerbaijan,UNFCCC_NAI,Aggregate GHGs,MtCO₂e,2013,2001-01-01,5.6,32.66,0.7,-4.89,,,35.94,40.83,1.86
Azerbaijan,Aggregate GHGs,2002-01-01,Azerbaijan,UNFCCC_NAI,Aggregate GHGs,MtCO₂e,2013,2002-01-01,5.9,32.09,0.91,-5.09,,,35.69,40.78,1.88
Azerbaijan,Aggregate GHGs,2003-01-01,Azerbaijan,UNFCCC_NAI,Aggregate GHGs,MtCO₂e,2013,2003-01-01,6.08,34.64,1.06,-5.23,,,38.46,43.68,1.91
